id,name,type,entry_created,entry_updated,trend_description,industry,platform,is_active,trend_image
1,Pink Makeup,Makeup Style,6/9/25 21:08,7/8/25 14:51,"The TikTok pink makeup trend embraces soft‑girly aesthetics—think rosy blushes, pastel pink eyeshadows, and matching lip tints or glosses that create an ethereal, monochromatic “pink everything” look.",1,tiktok,0,template_trends/pink_makeup.webp
2,MBTI Makeup,Makeup Style,6/9/25 21:28,7/8/25 14:51,"The MBTI makeup trend on TikTok encourages creators to match their makeup looks to their Myers–Briggs personality type—like bold, structured “INTJ power face” or soft, whimsical “INFP glow”—with many users sharing looks that embody the stereotypical vibe of their four-letter type. 
dexerto.com
 It’s a playful, highly personalized spin on beauty that turns self-expression into a creative role‑play of identity, even if often more aesthetic than psychologically grounded.",1,tiktok,0,template_trends/mbti_makeup.jpeg
5,Caught Up Feels,Book,6/11/25 3:03,7/8/25 14:58,"This trend is all about falling hard—and fast—for Navessa Allen’s latest book, Caught Up. TikTok readers are spiraling in the best way as this swoon-worthy, slow-burn romance grabs hearts and refuses to let go.

It’s giving: tension so thick you can’t breathe, glances that say everything, and the kind of emotional payoff that leaves you wrecked and healed at the same time. Readers are sharing tear-streaked selfies, annotated pages, and late-night ramblings because Caught Up isn’t just a book—it’s a full-blown obsession.

Warning: Side effects may include chest clenching, soft gasps, and an urgent need to talk about it with strangers online.",2,tiktok,0,template_trends/caught_up_feels.png
3,Domestic Diva Diaries,Transition,6/11/25 3:03,7/8/25 14:56,"In this unapologetically bold TikTok trend, stay-at-home moms are rewriting the narrative—one chore at a time—set to the high-energy beat of Latto’s “Blick Sum” sound. Think big lashes, bigger energy, and even bigger attitude as moms strut through their daily routines like it’s New York Fashion Week. From power-walking with laundry baskets to serving gourmet toddler meals like five-star chefs, these queens of the household are showing that running a home is a full-time, boss-level job—and they’re doing it with style, swagger, and a soundtrack that slaps.

It’s not just mom content—it’s main character energy in mom mode.",5,tiktok,0,template_trends/domestic_diva_diaries.png
4,Juicy Girl Summer,Makeup Product,6/11/25 3:03,7/8/25 14:52,"This trend is all about romanticizing your coffee runs, journaling in vintage notebooks, and channeling your inner pop muse—with a swipe of high-shine nostalgia. It’s soft, it’s sparkly, and it’s unapologetically you.

Because this summer? We gloss, we glow, we romanticize everything. 💋💜☕✨",1,tiktok,0,template_trends/juciy_girl_summer.png
6,Carrot Salad Recipe,Food Recipe,6/11/25 3:04,7/17/25 14:53,"Say hello to your new glow-up secret—TikTok’s viral carrot salad that’s basically a vitamin C party for your skin and your taste buds. Packed with crunchy, fresh goodness, this salad isn’t just delicious; it’s a retinol’s best friend, boosting your skincare routine from the inside out.

Bright, zesty, and bursting with color, this recipe is the ultimate #SnackAndSlay move—because glowing skin starts with what you eat. Crunch, munch, and watch your skin thank you.

Who knew healthy could taste this viral?",3,tiktok,0,template_trends/carrot_salad_recipe.png
7,The One Thing Glow Up,Skincare,6/11/25 16:51,7/8/25 14:52,"A trend where creators reveal the one skincare product they wish they discovered sooner, showing off their glow-up.",1,tiktok,0,template_trends/the_one_thing_glow_up.png
8,The Book Just Clicked,Bookhumor,6/11/25 17:08,7/8/25 14:58,A trend where readers share the exact moment a book’s plot suddenly makes sense—paired with a dramatic audio to show their realization.,2,tiktok,0,template_trends/the_book_just_clicked.png
9,What I Eat In a Day,Food Lifestyle,6/12/25 15:28,7/8/25 14:59,"The TikTok “What I Eat in a Day” trend features creators filming and narrating their meals, often with calorie counts, throughout a single day, providing an intimate glimpse into their dietary routine. While these videos can inspire cooking ideas or meal prep, experts and viewers warn they often perpetuate diet culture, unrealistic comparisons, and may trigger disordered eating behaviors.",3,tiktok,0,template_trends/what_i_eat_in_a_day.jpeg
10,When you lied on your resume,POV,6/12/25 18:48,7/8/25 14:57,POV: You lied on your resume and now they actually want you to do it 😅💻,5,tiktok,0,template_trends/when_you_lied_on_your_resume.png
11,Man of the Year,POV,6/12/25 18:49,7/17/25 14:58,"Highlighting the walking red flags who had the audacity to disappoint you 💅
This trend uses the audio “let’s hear it from the man of the year” to call out the most unimpressive men in your life—exes, almosts, or even that one coworker who thought he was the main character 🙄

It’s petty, it’s personal, and it’s painfully relatable.",5,tiktok,0,template_trends/man_of_the_year.png
12,NYX Smushy Matter Lip Balm,Makeup Product,6/12/25 18:49,8/21/25 5:42,"Beauty TikTok can’t stop talking about the Smushy Matte Lip Balm—NYX’s newest viral hit. With a soft-blur finish, buildable tint, and hydrating feel (thanks to mochi rice powder + ceramides), it’s the perfect mix of balm and color.

Each shade smells amazing, and the squishy sponge applicator makes it fun to apply—no wonder it's blowing up as the go-to my-lips-but-better look.",1,tiktok,0,template_trends/nyx_smushy_matter_lip_balm.png
13,Cleopatra Makeup Trend,Makeup,6/12/25 18:50,7/8/25 14:50,"Bold. Regal. Unforgettable. The Cleopatra makeup trend is everywhere right now—and it’s all about channeling that ancient queen energy. Think dramatic winged liner, gold accents, sculpted cheekbones, and powerful, mesmerizing eyes.

From modern glam twists to full-on historical recreations, creators are embracing the iconic Egyptian look to serve main character energy with every stroke.",1,tiktok,0,template_trends/cleopatra_makeup_trend.png
